,index,count,cum_sum,cum_percent,meal_super_category
2024,Delicious take away #BOWL Fleischlose Alternative,1,4369614,99.9901374,
2025,Delicious take away #SÜSSKARTOFFEL Fleischlose Alternative,1,4369615,99.99016028,
2026,Delicious take away #SÜSSKARTOFFEL,1,4369616,99.99018317,
2027,Land Spanien,1,4369617,99.99020605,
2028,Land Niederlande,1,4369618,99.99022893,
2029,Land Chile,1,4369619,99.99025182,
2030,Speisenangebot..,1,4369620,99.9902747,
2031,Pasta nach Gewicht (Preis pro 100 g)    ,1,4369621,99.99029758,
2032,Take Away Kombi-Angebot,1,4369622,99.99032047,
2033,Menü 2 mit drei Beilagen..,1,4369623,99.99034335,
2034,Land Frankreich,1,4369624,99.99036623,
2035,Tagesaktion vegan 1,1,4369625,99.99038911,
2036,Hier in Ihrer Mensa,1,4369626,99.990412,
2037,Ausgabe 1 canadian streetfood,1,4369627,99.99043488,
2038,Pasta / Gemüsebar je 100g,1,4369628,99.99045776,
2039,Ausgabe 1 canadian streetfood Fleischlose Alternative,1,4369629,99.99048065,
2040,Andebot 2,1,4369630,99.99050353,
2041,WOK- Gericht,1,4369631,99.99052641,
2042,Land Argentinien,1,4369632,99.9905493,
2043,Ukraine,1,4369633,99.99057218,
2044,Land Portugal,1,4369634,99.99059506,
2045,Nordirland,1,4369635,99.99061795,
2046,Polen,1,4369636,99.99064083,
2047,Nudelhteke,1,4369637,99.99066371,
2048,Griechenland,1,4369638,99.99068659,
2049,Grill auf der Terrasse,1,4369639,99.99070948,
2050,Veganes Tagesangebot 2,1,4369640,99.99073236,
2051,Delicious take away #CURRY,1,4369641,99.99075524,
2052,Delicious take away #CURRY Fleischlose Alternative,1,4369642,99.99077813,
2053,Terrasse Angebot 1,1,4369643,99.99080101,
2054,Ausgabe 1 Weihnachtsessen To-Go,1,4369644,99.99082389,
2055,Land Mexico,1,4369645,99.99084678,
2056,Veretarisch,1,4369646,99.99086966,
2057,Heißgetränke,1,4369647,99.99089254,
2058,Land Brasilien,1,4369648,99.99091543,
2059,Getränke in der Mensa,1,4369649,99.99093831,
2060,Tagesangebot - nur solange der Vorrat reicht,1,4369650,99.99096119,
2061,Heute am Aktionsstand 1,1,4369651,99.99098407,
2062,Speisenangebot1,1,4369652,99.99100696,
2063,Angebot in der Mensa,1,4369653,99.99102984,
2064,Wurstbeilage ,1,4369654,99.99105272,
2065,Ausgabe 1 Weihnachtsessen To-Go Fleischlose Alternative,1,4369655,99.99107561,
2066,Nachmittagsangebot,1,4369656,99.99109849,
2067,Land Deutschland,1,4369657,99.99112137,
2068,Ausgabe 2 Mensaessen To-Go,1,4369658,99.99114426,
2069,Land Ghana,1,4369659,99.99116714,
2070,Ausgabe 2 Mensaessen To-Go Fleischlose Alternative,1,4369660,99.99119002,
2071,Land Kamerun,1,4369661,99.99121291,
2072,Ausgabe 1 Menaessen To-Go Fleischlose Alternative,1,4369662,99.99123579,
2073,Ausgabe 1 Menaessen To-Go,1,4369663,99.99125867,
2074,Mensa / Bohne,1,4369664,99.99128155,
2075,Land Kroatien,1,4369665,99.99130444,
2076,Ausgabe 2 Pfälzer Gericht der Woche Fleischlose Alternative,1,4369666,99.99132732,
2077,Land Schweiz,1,4369667,99.9913502,
2078,Nudeltheke  -  Nur in Griebnitzsee,1,4369668,99.99137309,
2079,Ausgabe 2 Pfälzer Gericht der Woche,1,4369669,99.99139597,
2080,Terrasse Angebot 4,1,4369670,99.99141885,
2081,Terrasse Angebot 3,1,4369671,99.99144174,
2082,Terrasse Angebot 2,1,4369672,99.99146462,
2083,Speisenangebot 2..,1,4369673,99.9914875,
2084,Nachmittagsangebot III,1,4369674,99.99151038,
2085,Kompletttmenü,1,4369675,99.99153327,
2086,"Langos mit Sauerrahm oder Knoblauchöl, wahlweise mit",1,4369676,99.99155615,
2087,Abrissbirne,1,4369677,99.99157903,
2088,Fisch & Chips,1,4369678,99.99160192,
2089,Unser Angebot zum Halbfinale der Fußball-EM,1,4369679,99.9916248,
2090,Pasta - Bio-Essen,1,4369680,99.99164768,
2091,Abendessen - Schnitzel sa,1,4369681,99.99167057,
2092,Abendessen - Get your Bow,1,4369682,99.99169345,
2093,Schneller Teller 3 - Menü,1,4369683,99.99171633,
2094,Aktion .,1,4369684,99.99173922,
2095,Unser Angebot zur Fußball-EM,1,4369685,99.9917621,
2096,Draculas Augen,1,4369686,99.99178498,
2097,Unsere Azubis haben gekocht,1,4369687,99.99180786,
2098,Mausetote Oma,1,4369688,99.99183075,
2099,BBQ-Pumpkin,1,4369689,99.99185363,
2100,Frankensteins Fratze,1,4369690,99.99187651,
2101,Blumenkohlhirn,1,4369691,99.9918994,
2102,1 Langos mit Sauerrahm oder Knoblauchöl; wahlweise mit,1,4369692,99.99192228,
2103,Tierisch + Vegetarisch,1,4369693,99.99194516,
2104,Holiday-Food Spanien,1,4369694,99.99196805,
2105,xXx Cafeteria StraNa xXx,1,4369695,99.99199093,
2106,Holiday-Food Türkei,1,4369696,99.99201381,
2107,Aktionsessen Oktoberfest,1,4369697,99.9920367,
2108,Essen 4 - Oktoberfest TP,1,4369698,99.99205958,
2109,Maurer-Dekoltee,1,4369699,99.99208246,
2110,Aktion-Sächsische Woche,1,4369700,99.99210534,
2111,Unsere Azubis haben für Sie gekocht,1,4369701,99.99212823,
2112,Langos mit Sauerrahm oder Knoblauchöl wahlweise mit,1,4369702,99.99215111,
